// Output Data File:
//
// FILENAME 2BusTestCase.out
//
// CASE FILENAME :
2BusTestCase.dat

//  iNodeNumber	  iBranchNumber	     iGenNumber	     iLSENumber
              2	              1	              2	              1
// iMaxDay
       3
#GeneratorSupplyOfferDataStart
//  Day	GenCo Name	     aR ($/MWh)	    bR ($/MW2h)	     CapRL (MW)	     CapRU (MW)
   44	    7	801.00	  0.00
   44	    8	801.00	  0.00
   44	    9	801.00	  0.00
   44	   10	801.00	  0.00
   44	   11	801.00	  0.00
   44	   12	801.00	  0.00
   45	    1	801.00	  0.00
   45	    2	801.00	  0.00
   45	    3	801.00	  0.00
   45	    4	801.00	  0.00
   45	    5	801.00	  0.00
   45	    6	801.00	  0.00
   45	    7	801.00	  0.00
   45	    8	801.00	  0.00
   45	    9	801.00	  0.00
   45	   10	801.00	  0.00
   45	   11	801.00	  0.00
   45	   12	801.00	  0.00
   46	    1	801.00	  0.00
   46	    2	801.00	  0.00
   46	    3	801.00	  0.00
   46	    4	801.00	  0.00
   46	    5	801.00	  0.00
   46	    6	801.00	  0.00
   46	    7	801.00	  0.00
   46	    8	801.00	  0.00
   46	    9	801.00	  0.00
   46	   10	801.00	  0.00
   46	   11	801.00	  0.00
   46	   12	801.00	  0.00
   47	    1	801.00	  0.00
   47	    2	801.00	  0.00
   47	    3	801.00	  0.00
   47	    4	801.00	  0.00
   47	    5	801.00	  0.00
   47	    6	801.00	  0.00
   47	    7	801.00	  0.00
   47	    8	801.00	  0.00
   47	    9	801.00	  0.00
   47	   10	801.00	  0.00
   47	   11	801.00	  0.00
   47	   12	801.00	  0.00
   48	    1	801.00	  0.00
   48	    2	801.00	  0.00
   48	    3	801.00	  0.00
   48	    4	801.00	  0.00
   48	    5	801.00	  0.00
   48	    6	801.00	  0.00
   48	    7	801.00	  0.00
   48	    8	801.00	  0.00
   48	    9	801.00	  0.00
   48	   10	801.00	  0.00
   48	   11	801.00	  0.00
   48	   12	801.00	  0.00
#GeneratorRealTimeDispatchDataEnd

#LSEPriceSensitiveDemandDataStart
//  Day	 Hour	           LSE1
#LSEPriceSensitiveDemandDataEnd

#NodeLMPDataStart
//  Day	 Hour	          Bus 1	          Bus 2
    1	    1	 12.70	 12.70
    1	    2	 12.70	 12.70
    1	    3	 12.70	 12.70
    1	    4	 12.70	 12.70
    1	    5	 12.70	 12.70
    1	    6	 12.70	 12.70
    1	    7	 12.70	 12.70
    1	    8	 12.70	 12.70
    1	    9	 12.70	 12.70
    1	   10	 12.70	 12.70
    1	   11	 12.70	 12.70
    1	   12	 12.70	 12.70
    1	   13	 12.70	 12.70
    1	   14	 12.70	 12.70
    1	   15	 12.70	 12.70
    1	   16	 12.70	 12.70
    1	   17	 12.70	 12.70
    1	   18	 12.70	 12.70
    1	   19	 12.70	 12.70
    1	   20	 12.70	 12.70
    1	   21	 12.70	 12.70
    1	   22	 12.70	 12.70
    1	   23	 12.70	 12.70
    1	   24	 12.70	 12.70
    2	    1	 12.70	 12.70
    2	    2	 12.70	 12.70
    2	    3	 12.70	 12.70
    2	    4	 12.70	 12.70
    2	    5	 12.70	 12.70
    2	    6	 12.70	 12.70
    2	    7	 12.70	 12.70
    2	    8	 12.70	 12.70
    2	    9	 12.70	 12.70
    2	   10	 12.70	 12.70
    2	   11	 12.70	 12.70
    2	   12	 12.70	 12.70
    2	   13	 12.70	 12.70
    2	   14	 12.70	 12.70
    2	   15	 12.70	 12.70
    2	   16	 12.70	 12.70
    2	   17	 12.70	 12.70
    2	   18	 12.70	 12.70
    2	   19	 12.70	 12.70
    2	   20	 12.70	 12.70
    2	   21	 12.70	 12.70
    2	   22	 12.70	 12.70
    2	   23	 12.70	 12.70
    2	   24	 12.70	 12.70
    3	    1	 12.70	 12.70
    3	    2	 12.70	 12.70
    3	    3	 12.70	 12.70
    3	    4	 12.70	 12.70
    3	    5	 12.70	 12.70
    3	    6	 12.70	 12.70
    3	    7	 12.70	 12.70
    3	    8	 12.70	 12.70
    3	    9	 12.70	 12.70
    3	   10	 12.70	 12.70
    3	   11	 12.70	 12.70
    3	   12	 12.70	 12.70
    3	   13	 12.70	 12.70
    3	   14	 12.70	 12.70
    3	   15	 12.70	 12.70
    3	   16	 12.70	 12.70
    3	   17	 12.70	 12.70
    3	   18	 12.70	 12.70
    3	   19	 12.70	 12.70
    3	   20	 12.70	 12.70
    3	   21	 12.70	 12.70
    3	   22	 12.70	 12.70
    3	   23	 12.70	 12.70
    3	   24	 12.70	 12.70
#NodeLMPDataEnd

#NodeRealTimeLMPDataStart
//  Day	 Hour	          Bus 1	          Bus 2
    1	    1	 12.70	 12.70
    1	    2	 12.70	 12.70
    1	    3	 12.70	 12.70
    1	    4	 12.70	 12.70
    1	    5	 12.70	 12.70
    1	    6	 12.70	 12.70
    1	    7	 12.70	 12.70
    1	    8	 12.70	 12.70
    1	    9	 12.70	 12.70
    1	   10	 12.70	 12.70
    1	   11	 12.70	 12.70
    1	   12	 12.70	 12.70
    2	    1	 12.70	 12.70
    2	    2	 12.70	 12.70
    2	    3	 12.70	 12.70
    2	    4	 12.70	 12.70
    2	    5	 12.70	 12.70
    2	    6	 12.70	 12.70
    2	    7	 12.70	 12.70
    2	    8	 12.70	 12.70
    2	    9	 12.70	 12.70
    2	   10	 12.70	 12.70
    2	   11	 12.70	 12.70
    2	   12	 12.70	 12.70
    3	    1	 12.70	 12.70
    3	    2	 12.70	 12.70
    3	    3	 12.70	 12.70
    3	    4	 12.70	 12.70
    3	    5	 12.70	 12.70
    3	    6	 12.70	 12.70
    3	    7	 12.70	 12.70
    3	    8	 12.70	 12.70
    3	    9	 12.70	 12.70
    3	   10	 12.70	 12.70
    3	   11	 12.70	 12.70
    3	   12	 12.70	 12.70
    4	    1	 12.70	 12.70
    4	    2	 12.70	 12.70
    4	    3	 12.70	 12.70
    4	    4	 12.70	 12.70
    4	    5	 12.70	 12.70
    4	    6	 12.70	 12.70
    4	    7	 12.70	 12.70
    4	    8	 12.70	 12.70
    4	    9	 12.70	 12.70
    4	   10	 12.70	 12.70
    4	   11	 12.70	 12.70
    4	   12	 12.70	 12.70
    5	    1	 12.70	 12.70
    5	    2	 12.70	 12.70
    5	    3	 12.70	 12.70
    5	    4	 12.70	 12.70
    5	    5	 12.70	 12.70
    5	    6	 12.70	 12.70
    5	    7	 12.70	 12.70
    5	    8	 12.70	 12.70
    5	    9	 12.70	 12.70
    5	   10	 12.70	 12.70
    5	   11	 12.70	 12.70
    5	   12	 12.70	 12.70
    6	    1	 12.70	 12.70
    6	    2	 12.70	 12.70
    6	    3	 12.70	 12.70
    6	    4	 12.70	 12.70
    6	    5	 12.70	 12.70
    6	    6	 12.70	 12.70
    6	    7	 12.70	 12.70
    6	    8	 12.70	 12.70
    6	    9	 12.70	 12.70
    6	   10	 12.70	 12.70
    6	   11	 12.70	 12.70
    6	   12	 12.70	 12.70
    7	    1	 12.70	 12.70
    7	    2	 12.70	 12.70
    7	    3	 12.70	 12.70
    7	    4	 12.70	 12.70
    7	    5	 12.70	 12.70
    7	    6	 12.70	 12.70
    7	    7	 12.70	 12.70
    7	    8	 12.70	 12.70
